delta;pwm;rpm
4;0;0
8;0;0
12;0;0
16;0;0
20;0;0
24;0;0
28;0;0
32;0;0
36;0;0
40;0;0
44;0;0
48;0;0
52;0;0
56;0;0
60;0;0
64;0;0
68;0;0
72;0;0
76;0;0
80;0;0
84;0;0
88;0;0
92;0;0
96;0;0
100;0;0
104;0;0
108;0;0
112;0;0
116;0;0
120;0;0
124;0;0
128;0;0
132;0;0
140;0;0
144;0;0
148;0;0
152;0;0
156;0;0
160;0;0
164;0;0
168;0;0
172;0;0
176;0;0
180;0;0
184;0;0
188;0;0
192;0;0
196;0;0
200;0;0
204;0;0
208;0;0
212;0;0
216;0;0
220;0;0
224;0;0
228;0;0
232;0;0
236;0;0
240;0;0
244;0;0
248;0;0
252;0;0
256;0;0
260;0;0
264;0;0
268;0;0
303;0;0
307;0;0
311;0;0
315;0;0
319;0;0
323;0;0
327;0;0
331;0;0
335;0;0
339;0;0
343;0;0
347;0;0
351;0;0
355;0;0
359;0;0
363;0;0
367;0;0
371;0;0
375;0;0
379;0;0
383;0;0
390;0;0
394;0;0
398;0;0
402;0;0
406;0;0
410;0;0
414;0;0
418;0;0
422;0;0
426;0;0
430;0;0
434;0;0
438;0;0
442;0;0
446;0;0
450;0;0
454;0;0
458;0;0
462;0;0
466;0;0
470;0;0
474;0;0
478;0;0
482;0;0
486;0;0
490;0;0
494;0;0
498;0;0
502;0;0
506;0;0
510;0;0
514;0;0
518;0;0
522;0;0
526;0;0
530;0;0
534;0;0
538;0;0
542;0;0
546;0;0
550;0;0
554;0;0
558;0;0
562;0;0
566;0;0
570;0;0
574;0;0
578;0;0
582;0;0
586;0;0
590;0;0
594;0;0
598;0;0
602;0;0
608;0;0
612;0;0
616;0;0
620;0;0
624;0;0
628;0;0
632;0;0
636;0;0
640;0;0
644;0;0
648;0;0
652;0;0
656;0;0
660;0;0
664;0;0
668;0;0
672;0;0
676;0;0
680;0;0
684;0;0
688;0;0
692;0;0
696;0;0
700;0;0
704;0;0
708;0;0
712;0;0
716;0;0
720;0;0
724;0;0
728;0;0
732;0;0
736;0;0
740;0;0
744;0;0
748;0;0
752;0;0
756;0;0
760;0;0
764;0;0
768;0;0
772;0;0
776;0;0
780;0;0
784;0;0
788;0;0
792;0;0
796;0;0
800;0;0
804;0;0
808;0;0
812;0;0
816;0;0
822;0;0
826;0;0
830;0;0
834;0;0
838;0;0
842;0;0
846;0;0
850;0;0
854;0;0
858;0;0
862;0;0
866;0;0
870;0;0
874;0;0
878;0;0
882;0;0
886;0;0
890;0;0
894;0;0
898;0;0
902;0;0
906;0;0
910;0;0
914;0;0
918;0;0
922;0;0
926;0;0
930;0;0
934;0;0
938;0;0
942;0;0
946;0;0
950;0;0
954;0;0
958;0;0
962;0;0
966;0;0
970;0;0
974;0;0
978;0;0
982;0;0
986;0;0
990;0;0
994;0;0
998;0;0
1002;0;0
1006;0;0
1010;0;0
1014;0;0
1018;0;0
1022;0;0
1026;0;0
1030;0;0
1036;0;0
1040;0;0
1044;0;0
1048;0;0
1052;0;0
1056;0;0
1060;0;0
1064;0;0
1068;0;0
1072;0;0
1076;0;0
1080;0;0
1084;0;0
1088;0;0
1092;0;0
1096;0;0
1100;0;0
1104;0;0
1108;0;0
1112;0;0
1116;0;0
1120;0;0
1124;0;0
1128;0;0
1132;0;0
1136;0;0
1140;0;0
1144;0;0
1148;0;0
1152;0;0
1156;0;0
1160;0;0
1164;0;0
1168;0;0
1172;0;0
1176;0;0
1180;0;0
1184;0;0
1188;0;0
1192;0;0
1196;0;0
1200;0;0
1204;0;0
1208;0;0
1212;0;0
1216;0;0
1220;0;0
1224;0;0
1228;0;0
1232;0;0
1236;0;0
1240;0;0
1244;0;0
1248;0;0
1254;0;0
1258;0;0
1262;0;0
1266;0;0
1270;0;0
1274;0;0
1278;0;0
1282;0;0
1286;0;0
1290;0;0
1294;0;0
1298;0;0
1302;0;0
1306;0;0
1310;0;0
1314;0;0
1318;0;0
1322;0;0
1326;0;0
1330;0;0
1334;0;0
1338;0;0
1342;0;0
1346;0;0
1350;0;0
1354;0;0
1358;0;0
1362;0;0
1366;0;0
1370;0;0
1374;0;0
1378;0;0
1382;0;0
1386;0;0
1390;0;0
1394;0;0
1398;0;0
1402;0;0
1406;0;0
1410;0;0
1414;0;0
1418;0;0
1422;0;0
1426;0;0
1430;0;0
1434;0;0
1438;0;0
1442;0;0
1446;0;0
1450;0;0
1454;0;0
1458;0;0
1462;0;0
1468;0;0
1472;0;0
1476;0;0
1480;0;0
1484;0;0
1488;0;0
1492;0;0
1496;0;0
1500;0;0
1504;0;0
1508;0;0
1512;0;0
1516;0;0
1520;0;0
1524;0;0
1528;0;0
1532;0;0
1536;0;0
1540;0;0
1544;0;0
1548;0;0
1552;0;0
1556;0;0
1560;0;0
1564;0;0
1568;0;0
1572;0;0
1576;0;0
1580;0;0
1584;0;0
1588;0;0
1592;0;0
1596;0;0
1600;0;0
1604;0;0
1608;0;0
1612;0;0
1616;0;0
1620;0;0
1624;0;0
1628;0;0
1632;0;0
1636;0;0
1640;0;0
1644;0;0
1648;0;0
1652;0;0
1656;0;0
1660;0;0
1664;0;0
1668;0;0
1672;0;0
1676;0;0
1680;0;0
1686;0;0
1690;0;0
1694;0;0
1698;0;0
1702;0;0
1706;0;0
1710;0;0
1714;0;0
1718;0;0
1722;0;0
1726;0;0
1730;0;0
1734;0;0
1738;0;0
1742;0;0
1746;0;0
1750;0;0
1754;0;0
1758;0;0
1762;0;0
1766;0;0
1770;0;0
1774;0;0
1778;0;0
1782;0;0
1786;0;0
1790;0;0
1794;0;0
1798;0;0
1802;0;0
1806;0;0
1810;0;0
1814;0;0
1818;0;0
1822;0;0
1826;0;0
1830;0;0
1834;0;0
1838;0;0
1842;0;0
1846;0;0
1850;0;0
1854;0;0
1858;0;0
1862;0;0
1866;0;0
1870;0;0
1874;0;0
1878;0;0
1882;0;0
1886;0;0
1890;0;0
1894;0;0
1900;0;0
1904;0;0
1908;0;0
1912;0;0
1916;0;0
1920;0;0
1924;0;0
1928;0;0
1932;0;0
1936;0;0
1940;0;0
1944;0;0
1948;0;0
1952;0;0
1956;0;0
1960;0;0
1964;0;0
1968;0;0
1972;0;0
1976;0;0
1980;0;0
1984;0;0
1988;0;0
2018;0;0
2118;20;750
2122;20;0
2126;20;750
2130;20;750
2138;20;750
2142;20;750
2146;20;0
2150;20;750
2154;20;0
2158;20;750
2162;20;0
2166;20;750
2170;20;0
2174;20;750
2178;20;0
2182;20;750
2186;20;750
2190;20;0
2194;20;1500
2198;20;0
2202;20;1500
2206;20;750
2210;20;0
2214;20;750
2218;20;0
2222;20;750
2226;20;750
2230;20;750
2234;20;1500
2238;20;750
2242;20;750
2246;20;0
2250;20;750
2254;20;750
2258;20;750
2262;20;0
2266;20;750
2270;20;750
2274;20;750
2278;20;750
2282;20;1500
2286;20;0
2290;20;750
2294;20;750
2298;20;750
2302;20;750
2306;20;750
2310;20;1500
2314;20;1500
2318;20;1500
2322;20;750
2326;20;1500
2330;20;1500
2334;20;1500
2338;20;1500
2342;20;1500
2346;20;1500
2350;20;0
2354;20;2250
2361;20;2250
2365;20;1500
2369;20;1500
2373;20;1500
2377;20;750
2381;20;750
2385;20;1500
2389;20;1500
2393;20;750
2397;20;1500
2401;20;750
